,代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
0,sz159998,计算机ETF,0.882,-0.003,-0.339,0.882,0.883,0.885,0.886,0.896,0.878,55278000,48990246
1,sz159997,电子ETF,1.127,-0.002,-0.177,1.126,1.127,1.129,1.129,1.142,1.121,22271000,25153074
2,sz159996,家电ETF,1.349,0.001,0.074,1.348,1.349,1.348,1.349,1.355,1.343,46574143,62842601
3,sz159995,芯片ETF,1.197,-0.003,-0.25,1.197,1.198,1.2,1.199,1.216,1.187,493619100,592328256
4,sz159994,5GETF,0.973,-0.003,-0.307,0.973,0.974,0.976,0.979,0.985,0.97,59485106,58083463
5,sz159993,证券ETF龙头,1.206,0.002,0.166,1.206,1.207,1.204,1.205,1.228,1.194,87133001,105626031
6,sz159992,创新药ETF,0.819,0.006,0.738,0.818,0.819,0.813,0.812,0.824,0.81,491828216,401502103
7,sz159991,创大盘ETF,0.481,-0.002,-0.414,0.48,0.481,0.483,0.483,0.488,0.48,7470900,3614882
8,sz159985,豆粕ETF,1.928,0.001,0.052,1.927,1.928,1.927,1.929,1.93,1.926,73802700,142248197
9,sz159982,中证500ETF鹏华,1.526,-0.003,-0.196,1.525,1.526,1.529,1.527,1.541,1.52,5338900,8165670
10,sz159981,能源化工ETF,1.333,-0.01,-0.745,1.332,1.333,1.343,1.347,1.348,1.331,72834800,97340711
11,sz159980,有色ETF,1.711,-0.011,-0.639,1.711,1.712,1.722,1.722,1.723,1.709,82592600,141746871
12,sz159977,创业板ETF天弘,2.236,-0.008,-0.357,2.236,2.237,2.244,2.239,2.268,2.233,38025800,85544515
13,sz159976,湾创ETF,1.175,0.001,0.085,1.152,1.175,1.174,1.169,1.184,1.169,44600,52661
14,sz159975,深100ETF招商,0.572,0.0,0.0,0.57,0.572,0.572,0.57,0.577,0.57,8173400,4685338
15,sz159974,央企创新ETF,1.586,0.001,0.063,1.584,1.587,1.585,1.585,1.593,1.585,419402,666173
16,sz159973,民企ETF,1.373,-0.004,-0.29,1.373,1.384,1.377,1.378,1.386,1.371,184700,254842
17,sz159972,5年地债ETF,116.379,0.014,0.012,116.376,116.379,116.365,116.42,116.42,116.347,20681200,2406574219
18,sz159971,创业板ETF富国,1.498,-0.003,-0.2,1.498,1.499,1.501,1.502,1.519,1.494,14548100,21848662
19,sz159970,深100ETF工银,4.683,0.003,0.064,4.678,4.75,4.68,4.671,4.995,4.67,144400,678058
20,sz159969,深100ETF银华,1.173,0.0,0.0,1.172,1.175,1.173,1.171,1.179,1.171,819600,962109
21,sz159968,中证500ETF博时,7.392,0.001,0.014,7.392,7.399,7.391,7.393,7.454,7.318,908897,6726031
22,sz159967,创业板成长ETF,0.45,-0.001,-0.222,0.45,0.451,0.451,0.451,0.459,0.448,243403995,110104205
23,sz159966,创业板价值ETF,0.47,0.001,0.213,0.469,0.47,0.469,0.47,0.474,0.466,6362245,2985954
24,sz159965,央视50ETF,1.515,0.009,0.598,1.513,1.515,1.506,1.505,1.527,1.505,553600,837754
25,sz159964,创业板ETF平安,1.399,-0.004,-0.285,1.399,1.41,1.403,1.403,1.418,1.396,5666402,7955337
